fideid,name,country,sex,title,w_title,o_title,foa_title,rating,games,k,rapid_rating,rapid_games,rapid_k,blitz_rating,blitz_games,blitz_k,birthday,flag
5018471,"Adhiban, B.",IND,M,GM,,,,2616.0,0.0,10.0,2548.0,0.0,20.0,2648.0,0.0,20.0,1992.0,
5040299,Akash G,IND,M,GM,,FT,,2495.0,0.0,10.0,2393.0,0.0,20.0,2359.0,0.0,20.0,1996.0,i
5012414,"Akshayraj, Kore",IND,M,GM,,,,2482.0,0.0,10.0,2484.0,0.0,20.0,2399.0,0.0,20.0,1988.0,i
5000017,"Anand, Viswanathan",IND,M,GM,,FST,,2751.0,0.0,10.0,2731.0,9.0,20.0,2728.0,18.0,20.0,1969.0,
5023335,"Ankit, R. Rajpara",IND,M,GM,,,,2452.0,0.0,10.0,,,,2447.0,0.0,20.0,1994.0,i
5024366,"Anurag, Mhamal",IND,M,GM,,,,2499.0,0.0,10.0,2382.0,0.0,20.0,2317.0,0.0,20.0,1995.0,i
5072786,"Aravindh, Chithambaram VR.",IND,M,GM,,,,2606.0,0.0,10.0,2576.0,17.0,20.0,2577.0,11.0,20.0,1999.0,
35018701,Arjun Kalyan,IND,M,GM,,,,2477.0,0.0,10.0,2268.0,17.0,20.0,2340.0,11.0,20.0,2002.0,
5011167,"Arun Prasad, S.",IND,M,GM,,,,2507.0,0.0,10.0,2486.0,0.0,20.0,2514.0,0.0,20.0,1988.0,i
5084423,Aryan Chopra,IND,M,GM,,,,2609.0,0.0,10.0,,,,,,,2001.0,
5018137,"Ashwin, Jayaram",IND,M,GM,,,,2471.0,0.0,10.0,2513.0,0.0,20.0,2461.0,0.0,20.0,1990.0,
5004195,"Bakre, Tejas",IND,M,GM,,FST,,2413.0,0.0,10.0,2385.0,0.0,20.0,2366.0,0.0,20.0,1981.0,i
5000025,"Barua, Dibyendu",IND,M,GM,,,,2393.0,0.0,10.0,2404.0,0.0,20.0,,,,1966.0,i
46634827,Bharath Subramaniyam H,IND,M,GM,,,,2479.0,0.0,10.0,2174.0,0.0,20.0,2242.0,0.0,20.0,2007.0,
5004225,"Chanda, Sandipan",IND,M,GM,,,,2467.0,0.0,10.0,2602.0,0.0,20.0,2490.0,0.0,20.0,1983.0,
5024854,"Debashis, Das",IND,M,GM,,,,2491.0,0.0,10.0,2547.0,0.0,20.0,2474.0,0.0,20.0,1993.0,
5011132,Deepan Chakkravarthy J.,IND,M,GM,,,,2478.0,0.0,10.0,2432.0,25.0,20.0,2440.0,11.0,20.0,1987.0,
35006916,Divya Deshmukh,IND,F,WGM,WGM,,,2317.0,0.0,10.0,1797.0,8.0,20.0,2280.0,11.0,20.0,2005.0,w
35009192,Erigaisi Arjun,IND,M,GM,,,,2681.0,7.0,10.0,2450.0,0.0,20.0,2745.0,0.0,20.0,2003.0,
5037883,"Gagare, Shardul",IND,M,GM,,,,2514.0,0.0,10.0,2449.0,0.0,20.0,2488.0,0.0,20.0,1997.0,i
5002150,"Ganguly, Surya Shekhar",IND,M,GM,,,,2616.0,0.0,10.0,2646.0,0.0,20.0,2531.0,0.0,20.0,1983.0,
5045207,"Ghosh, Diptayan",IND,M,GM,,,,2538.0,0.0,10.0,2411.0,17.0,20.0,2539.0,11.0,20.0,1998.0,
5038448,"Girish, A. Koushik",IND,M,GM,,,,2498.0,0.0,10.0,2410.0,0.0,20.0,2387.0,0.0,20.0,1997.0,i
5013623,"Gomes, Mary Ann",IND,F,WGM,WGM,,,2349.0,0.0,10.0,2319.0,0.0,20.0,2106.0,0.0,20.0,1989.0,w
5015693,Gopal G.N.,IND,M,GM,,,,2593.0,0.0,10.0,2478.0,9.0,20.0,2511.0,11.0,20.0,1989.0,i
5021103,"Grover, Sahaj",IND,M,GM,,,,2505.0,0.0,10.0,2492.0,0.0,20.0,2525.0,0.0,20.0,1995.0,
46616543,Gukesh D,IND,M,GM,,,,2675.0,10.0,10.0,2223.0,0.0,20.0,2598.0,0.0,20.0,2006.0,
5010608,"Gupta, Abhijeet",IND,M,GM,,FT,,2606.0,0.0,10.0,2551.0,0.0,20.0,2549.0,0.0,20.0,1989.0,
5015197,"Harika, Dronavalli",IND,F,GM,WGM,,,2517.0,0.0,10.0,2475.0,0.0,20.0,2382.0,0.0,20.0,1991.0,w
5007003,"Harikrishna, Pentala",IND,M,GM,,,,2701.0,4.0,10.0,2624.0,0.0,20.0,2574.0,0.0,20.0,1986.0,
5078776,Harsha Bharathakoti,IND,M,GM,,,,2547.0,0.0,10.0,2558.0,0.0,20.0,2575.0,0.0,20.0,2000.0,
5007836,"Himanshu, Sharma",IND,M,GM,,,,2374.0,0.0,10.0,2322.0,8.0,20.0,2307.0,0.0,20.0,1983.0,
25002767,"Iniyan, P",IND,M,GM,,,,2518.0,0.0,10.0,2295.0,0.0,20.0,2450.0,0.0,20.0,2002.0,
5018293,Kannappan Priyadharshan,IND,M,GM,,FT,,2553.0,0.0,10.0,2478.0,0.0,20.0,2464.0,0.0,20.0,1993.0,i
25006479,Karthik Venkataraman,IND,M,GM,,,,2480.0,0.0,10.0,2339.0,32.0,20.0,2397.0,18.0,20.0,1999.0,
5074452,"Karthikeyan, Murali",IND,M,GM,,,,2613.0,0.0,10.0,2387.0,9.0,20.0,2526.0,7.0,20.0,1999.0,
5018226,"Karthikeyan, P.",IND,M,GM,,,,2346.0,10.0,10.0,2245.0,32.0,20.0,2353.0,17.0,20.0,1990.0,
5019575,"Kiran, Manisha Mohanty",IND,F,WGM,WGM,,,2104.0,10.0,20.0,2174.0,0.0,20.0,2143.0,0.0,20.0,1989.0,w
5008123,"Koneru, Humpy",IND,F,GM,WGM,,,2586.0,0.0,10.0,2467.0,0.0,20.0,2472.0,0.0,20.0,1987.0,wi
5002265,"Kunte, Abhijit",IND,M,GM,,FST,,2458.0,0.0,10.0,2427.0,0.0,20.0,2420.0,0.0,20.0,1977.0,i
5024595,Lalith Babu M R,IND,M,GM,,,,2563.0,0.0,10.0,2550.0,0.0,20.0,2551.0,0.0,20.0,1993.0,
5005361,"Laxman, R.R.",IND,M,GM,,,,2403.0,10.0,10.0,2247.0,39.0,20.0,2361.0,18.0,20.0,1983.0,
5004381,Meenakshi Subbaraman,IND,F,WGM,WGM,,,2171.0,0.0,20.0,2051.0,0.0,20.0,2161.0,0.0,20.0,1981.0,wi
35028561,"Mendonca, Leon Luke",IND,M,GM,,,,2562.0,9.0,10.0,1391.0,0.0,20.0,2152.0,0.0,20.0,2006.0,
5057000,"Mitrabha, Guha",IND,M,GM,,,,2499.0,10.0,10.0,2268.0,24.0,20.0,2499.0,18.0,20.0,2001.0,
5012716,"Nadig, Kruttika",IND,F,WGM,WGM,,,2142.0,0.0,20.0,2225.0,0.0,20.0,,,,1988.0,wi
5050847,"Nandhidhaa, P V",IND,F,WGM,WGM,,,2312.0,3.0,20.0,2131.0,0.0,20.0,2006.0,0.0,20.0,1996.0,w
5018420,"Narayanan, Srinath",IND,M,GM,,,,2559.0,0.0,10.0,2518.0,0.0,20.0,2472.0,0.0,20.0,1994.0,
5058422,Narayanan.S.L,IND,M,GM,,,,2662.0,0.0,10.0,2546.0,0.0,20.0,2494.0,0.0,20.0,1998.0,
5003512,"Neelotpal, Das",IND,M,GM,,,,2431.0,0.0,10.0,2302.0,17.0,20.0,2356.0,11.0,20.0,1982.0,
5016690,"Negi, Parimarjan",IND,M,GM,,,,2639.0,0.0,10.0,2613.0,0.0,20.0,2613.0,0.0,20.0,1993.0,i
25092340,Nihal Sarin,IND,M,GM,,,,2654.0,2.0,10.0,2604.0,0.0,20.0,2705.0,0.0,20.0,2004.0,
5007429,"Panchanathan, Magesh Chandran",IND,M,GM,,,,2476.0,5.0,10.0,,,,2494.0,0.0,20.0,1983.0,
25059530,Praggnanandhaa R,IND,M,GM,,,,2642.0,0.0,10.0,1927.0,0.0,20.0,2599.0,0.0,20.0,2005.0,
5000629,"Pratyusha, Bodda",IND,F,WGM,WGM,,,2310.0,0.0,20.0,2094.0,0.0,20.0,2142.0,0.0,20.0,1997.0,w
46618546,Prithu Gupta,IND,M,GM,,,,2444.0,0.0,10.0,2394.0,0.0,20.0,1775.0,0.0,20.0,2004.0,
25049615,Priyanka Nutakki,IND,F,WGM,WGM,,,2303.0,0.0,20.0,1949.0,14.0,20.0,1912.0,5.0,20.0,2002.0,w
5061245,"Puranik, Abhimanyu",IND,M,GM,,,,2608.0,0.0,10.0,2550.0,0.0,20.0,2520.0,0.0,20.0,2000.0,
5089000,Raja Harshit,IND,M,GM,,,,2479.0,0.0,10.0,2164.0,0.0,20.0,2338.0,9.0,20.0,2001.0,
35007394,Raja Rithvik R,IND,M,GM,,,,2491.0,0.0,10.0,1851.0,0.0,20.0,2255.0,0.0,20.0,2004.0,
5004373,"Ramaswamy, Aarthie",IND,F,WGM,WGM,FT,,2074.0,0.0,20.0,1991.0,0.0,20.0,1922.0,0.0,20.0,1981.0,wi
5002109,Ramesh R B,IND,M,GM,,FST,,2472.0,0.0,10.0,,,,2320.0,0.0,20.0,1976.0,i
5002974,"Roy Chowdhury, Saptarshi",IND,M,GM,,,,2273.0,0.0,10.0,2379.0,0.0,20.0,2289.0,0.0,20.0,1982.0,
35093487,"Sadhwani, Raunak",IND,M,GM,,,,2620.0,0.0,10.0,2533.0,0.0,20.0,2616.0,0.0,20.0,2005.0,
5097010,Sankalp Gupta,IND,M,GM,,,,2505.0,0.0,10.0,2318.0,17.0,20.0,2399.0,11.0,20.0,2003.0,
5008980,"Saptarshi, Roy",IND,M,GM,,,,2388.0,0.0,10.0,2336.0,0.0,20.0,2320.0,0.0,20.0,1986.0,
5004985,"Sasikiran, Krishnan",IND,M,GM,,,,2635.0,10.0,10.0,2577.0,0.0,20.0,2572.0,0.0,20.0,1981.0,
5008352,"Sengupta, Deep",IND,M,GM,,,,2526.0,0.0,10.0,2438.0,0.0,20.0,2313.0,0.0,20.0,1988.0,
5021596,"Sethuraman, S.P.",IND,M,GM,,,,2613.0,0.0,10.0,2556.0,0.0,20.0,2473.0,0.0,20.0,1993.0,
5019141,"Shyam, Sundar M.",IND,M,GM,,,,2526.0,0.0,10.0,2464.0,0.0,20.0,2484.0,0.0,20.0,1992.0,
5055903,"Srija, Seshadri",IND,F,WGM,WGM,,,2241.0,0.0,20.0,2087.0,0.0,20.0,1995.0,0.0,20.0,1997.0,w
5001668,"Sriram, Jha",IND,M,GM,,,,2361.0,0.0,10.0,2356.0,9.0,20.0,2239.0,11.0,20.0,1976.0,
5029104,"Stany, G.A.",IND,M,GM,,,,2510.0,0.0,10.0,2364.0,0.0,20.0,2502.0,0.0,20.0,1993.0,
5005370,"Sundararajan, Kidambi",IND,M,GM,,,,2389.0,0.0,10.0,2398.0,0.0,20.0,2409.0,0.0,20.0,1982.0,i
5019184,"Swapnil, S. Dhopade",IND,M,GM,,,,2499.0,0.0,10.0,2470.0,0.0,20.0,2402.0,0.0,20.0,1990.0,
5003474,Swati Ghate,IND,F,WGM,WGM,,,2089.0,0.0,20.0,2178.0,0.0,20.0,2128.0,0.0,20.0,1980.0,w
5028183,"Swayams, Mishra",IND,M,GM,,FT,,2489.0,0.0,10.0,2461.0,0.0,20.0,2419.0,0.0,20.0,1992.0,i
5009154,"Thejkumar, M. S.",IND,M,GM,,,,2430.0,0.0,10.0,2290.0,32.0,20.0,2294.0,0.0,20.0,1981.0,
5000033,"Thipsay, Praveen M",IND,M,GM,,FST,,2376.0,0.0,10.0,2288.0,0.0,20.0,2200.0,0.0,20.0,1959.0,i
5045185,"Vaibhav, Suri",IND,M,GM,,,,2600.0,0.0,10.0,2543.0,0.0,20.0,2381.0,0.0,20.0,1997.0,i
25050389,Vantika Agrawal,IND,F,WGM,WGM,,,2371.0,0.0,20.0,1841.0,0.0,20.0,2075.0,0.0,20.0,2002.0,w
5091241,"Varshini, V",IND,F,WGM,WGM,,,2128.0,9.0,20.0,1878.0,0.0,20.0,1948.0,0.0,20.0,1998.0,w
5005779,"Venkatesh, M.R.",IND,M,GM,,,,2479.0,10.0,10.0,2414.0,0.0,20.0,2450.0,0.0,20.0,1985.0,
5029465,"Vidit, Santosh Gujrathi",IND,M,GM,,,,2723.0,0.0,10.0,2617.0,0.0,20.0,2654.0,0.0,20.0,1994.0,
25012223,Visakh N R,IND,M,GM,,,,2506.0,0.0,10.0,2391.0,0.0,20.0,2448.0,0.0,20.0,1999.0,
5030692,Vishnu Prasanna. V,IND,M,GM,,,,2437.0,0.0,10.0,2495.0,9.0,20.0,2499.0,11.0,20.0,1989.0,
